text,label_绝对化用语,label_术语堆砌,label_虚假疗效,label_标点异常,label_数据篡改,label_权威伪造,labels_json
最新提醒：痛风人群注意，所谓内部经验称该方案能快速调理，很多人跟风。,0,1,1,0,0,1,"[0, 1, 1, 0, 0, 1]"
纳米电池涂层可让手机续航翻倍。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
院士推荐这种茶饮，长期喝可防治多种肿瘤。,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
哈佛大学研究团队发现某食材可100%抑制癌症复发。,1,0,0,0,0,1,"[1, 0, 0, 0, 0, 1]"
慢病患者按医嘱规范用药通常更安全，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
"這次侵襲台灣的病毒是美國最新D614G,傳染力更快更猛。",0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
量子芯片贴在外壳上可实时中和恶意电磁干扰。,0,1,1,0,0,0,"[0, 1, 1, 0, 0, 0]"
最新提醒：癌症人群注意，据传临床都在用，数据也显示见效很快。,0,1,1,0,1,1,"[0, 1, 1, 0, 1, 1]"
内部资料外流：糖尿病高危人群警惕，央视曝光：权威专家称该配方能逆转病情，万人数据证实有效率99%！！很多人看完都惊到了。,0,1,1,1,1,1,"[0, 1, 1, 1, 1, 1]"
社群热议：肿瘤高危人群警惕，紧急提醒！！诺奖团队都在推荐这套疗法，报告称有效率高达99%。很多人看完都惊到了。,0,0,1,1,1,1,"[0, 0, 1, 1, 1, 1]"
区块链审计模块可自动发现异常交易路径。,0,1,1,0,0,0,"[0, 1, 1, 0, 0, 0]"
家属必看：肿瘤患者注意，这个民间古方用词专业，临床都在推广。别等严重了才后悔。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
高血压患者每周适度有氧运动有助于心血管健康，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
内部消息：脂肪肝患者注意，医学圈都在传，这套方案能精准清除血管垃圾。传播很快，请尽早知道。,0,1,0,0,1,0,"[0, 1, 0, 0, 1, 0]"
高血压患者控盐饮食有助于血压管理，不建议自行停药或换药。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
心血管高风险人群心理压力管理有助于睡眠和身心健康，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
蓝牙调频贴可稳定无线耳机连接不掉线。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
某APP的AI测速比运营商后台更准确，绝对不会错。,1,1,0,0,0,0,"[1, 1, 0, 0, 0, 0]"
慢病患者保持健康体重有助于慢病管理，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
医生圈热传：糖尿病患者注意，这个民间古方用词专业，临床都在推广。建议尽快尝试。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
风险预警：高血压患者注意，这种方法100%有效，而且专家都在偷偷使用。不少患者反馈有效。,1,0,0,0,0,1,"[1, 0, 0, 0, 0, 1]"
某高科技能量服可修复电磁屏蔽层，实验全部见效。,0,1,0,0,1,0,"[0, 1, 0, 0, 1, 0]"
保健圈疯传：痛风高危人群警惕，某医院内部资料显示，该疗法可替代药物治疗，临床几乎人人见效！！很多人看完都惊到了。,0,1,1,1,1,1,"[0, 1, 1, 1, 1, 1]"
很多人忽视：糖尿病人群注意，报告称有效率高达99%，某专家还说不必复查。,0,1,0,1,1,1,"[0, 1, 0, 1, 1, 1]"
心血管高风险人群心理压力管理有助于睡眠和身心健康，不建议自行停药或换药。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
